n,k,residual_setup_ns,cross_key_ns,bayer_groth_ns,slot_or_ns,prove_total_ns,serialization_ns,verify_cross_key_ns,verify_bayer_groth_ns,verify_slot_or_ns,verify_total_ns
13,1,3818959,848417,16994833,13828625,35562417,152166,735666,12912333,10630833,25156833
13,4,5145500,3591666,17098750,13952416,39584208,246084,2955541,12628250,10581542,27267875
13,13,7583041,11521875,17682709,14194500,51551416,357166,11769916,23614292,17342709,65485792
26,1,7137584,931000,32302167,27672500,67718583,363334,742291,23544833,20727791,46647000
26,4,8277792,3433541,32501375,27321833,71843125,421375,2982917,24802959,22340375,52756625
26,13,11052333,11873166,33572917,28567500,84556125,544875,9591875,23598250,20895459,56148125
52,1,13964667,840208,65274875,56174042,141174250,710084,774041,45854916,42353583,92066542
52,4,15229417,3595458,64818417,55811083,140043208,802875,2920167,46450792,42168083,94487958
52,13,17536000,11330208,63519292,54704333,147562292,911750,9516500,45738208,41791833,100913292
52,26,21967500,22817917,65294333,57553291,168862583,1164833,19842042,47894541,43424667,116405083
